episode,car,tsr,ets,collision,cbf_acts,min_dist,violations
0,0,0,800,1,0,0.0894,2
1,0,0,800,1,0,0.1259,0
2,0,1,535,1,0,0.1338,0
3,0,1,122,1,0,0.244,0
4,0,0,800,1,0,0.136,0
5,0,1,757,1,0,0.1391,0
6,0,0,800,1,0,0.1112,0
7,0,0,800,1,0,0.1372,0
8,0,0,800,1,0,0.1051,0
9,0,0,800,1,0,0.1014,0
