episode,car,tsr,ets,collision,cbf_acts,min_dist,violations
0,0,0,800,1,0,0.18,0
1,0,0,800,1,0,0.1753,0
2,0,0,800,1,0,0.1671,0
3,0,0,800,1,0,0.1652,0
4,0,0,800,1,0,0.2028,0
5,0,0,800,1,0,0.1878,0
6,0,0,800,1,0,0.1484,0
7,0,0,800,1,0,0.1469,0
8,0,0,800,1,0,0.1079,0
9,0,0,800,1,0,0.1852,0
