episode,car,tsr,ets,collision,cbf_acts,min_dist,violations
0,1,0,800,0,0,0.3778,0
1,1,0,800,0,0,0.5043,0
2,1,0,800,0,0,0.3502,0
3,0,0,800,1,0,0.4527,0
4,1,0,800,0,0,0.4475,0
5,1,0,800,0,0,0.4448,0
6,1,0,800,0,0,0.3867,0
7,1,0,800,0,0,0.5339,0
8,1,0,800,0,0,0.3653,0
9,0,0,800,1,183,0.1809,0
