episode,car,tsr,ets,collision,cbf_acts,min_dist,violations
0,1,0,87,0,0,inf,0
1,1,0,88,0,0,inf,0
2,1,0,90,0,0,inf,0
3,1,0,86,0,0,inf,0
4,1,0,91,0,0,inf,0
5,1,0,88,0,0,inf,0
6,1,0,91,0,0,inf,0
7,1,0,90,0,0,inf,0
8,1,0,113,0,0,inf,0
9,1,0,103,0,0,inf,0
