episode,car,tsr,ets,collision,cbf_acts,min_dist,violations
0,1,0,94,0,0,inf,0
1,1,0,96,0,0,inf,0
2,1,0,91,0,0,inf,0
3,1,0,91,0,0,inf,0
4,1,0,95,0,0,inf,0
5,1,0,91,0,0,inf,0
6,1,0,94,0,0,inf,0
7,1,0,112,0,0,inf,0
8,1,0,94,0,0,inf,0
9,1,0,92,0,0,inf,0
