episode,car,tsr,ets,collision,cbf_acts,min_dist,violations
0,0,0,800,1,0,0.1403,0
1,0,0,115,1,0,0.2621,0
2,0,0,800,1,0,0.1405,0
3,0,0,800,1,0,0.1444,0
4,0,0,800,1,0,0.152,0
5,0,0,800,1,0,0.1463,0
6,0,0,800,1,0,0.0682,179
7,0,0,137,1,0,0.2472,0
8,0,0,800,1,0,0.1637,0
9,0,0,800,1,0,0.148,0
