episode,car,tsr,ets,collision,cbf_acts,min_dist,violations
0,0,0,800,1,85,0.1901,0
1,1,0,800,0,234,0.1515,0
2,0,0,800,1,105,0.2157,0
3,0,0,800,1,104,0.2091,0
4,1,0,800,0,0,0.3988,0
5,1,0,800,0,0,0.4131,0
6,1,0,800,0,0,0.2978,0
7,1,0,800,0,0,0.3601,0
8,1,0,800,0,0,0.2632,0
9,1,0,800,0,0,0.4206,0
