episode,car,tsr,ets,collision,cbf_acts,min_dist,violations
0,0,0,800,1,0,0.1996,0
1,0,0,800,1,0,0.1676,0
2,0,0,800,1,0,0.1243,0
3,0,0,800,1,0,0.1632,0
4,0,0,800,1,0,0.19,0
5,0,0,800,1,0,0.1402,0
6,1,0,800,0,0,0.1499,0
7,1,0,117,0,0,0.1761,0
8,0,0,800,1,0,0.1462,0
9,0,0,800,1,0,0.116,0
