episode,car,tsr,ets,collision,cbf_acts,min_dist,violations
0,1,0,800,0,0,inf,0
1,1,0,800,0,0,inf,0
2,1,0,800,0,0,inf,0
3,1,0,748,0,0,inf,0
4,1,0,800,0,0,inf,0
5,1,0,800,0,0,inf,0
6,1,0,202,0,0,inf,0
7,1,0,130,0,0,inf,0
8,1,0,123,0,0,inf,0
9,1,0,800,0,0,inf,0
