step,ee_x,ee_y,ee_z,min_dist,closest_body,cbf_triggered,violation
93,0.5837,0.0063,0.4877,0.1509,hand,1,0
94,0.5836,0.0097,0.4877,0.1509,hand,1,0
95,0.5835,0.013,0.4876,0.1509,hand,1,0
96,0.5835,0.0163,0.4874,0.1509,hand,1,0
97,0.5834,0.0195,0.4871,0.1509,hand,1,0
98,0.5834,0.0227,0.4868,0.151,hand,1,0
99,0.5833,0.0259,0.4864,0.151,hand,1,0
100,0.5833,0.029,0.4858,0.151,hand,1,0
101,0.5833,0.032,0.4853,0.151,hand,1,0
102,0.5833,0.035,0.4846,0.151,hand,1,0
103,0.5833,0.038,0.4839,0.151,hand,1,0
104,0.5834,0.0409,0.4831,0.151,hand,1,0
105,0.5834,0.0437,0.4822,0.1509,hand,1,0
106,0.5835,0.0465,0.4813,0.1509,hand,1,0
107,0.5836,0.0492,0.4803,0.1509,hand,1,0
108,0.5836,0.0519,0.4792,0.1509,hand,1,0
109,0.5837,0.0545,0.4781,0.1509,hand,1,0
110,0.5839,0.057,0.4769,0.1509,hand,1,0
111,0.584,0.0595,0.4757,0.1509,hand,1,0
112,0.5841,0.0619,0.4745,0.1509,hand,1,0
113,0.5843,0.0642,0.4732,0.1508,hand,1,0
114,0.5844,0.0664,0.4719,0.1508,hand,1,0
115,0.5846,0.0686,0.4705,0.1508,hand,1,0
116,0.5848,0.0707,0.4691,0.1508,hand,1,0
117,0.5849,0.0728,0.4677,0.1508,hand,1,0
118,0.5851,0.0748,0.4662,0.1507,hand,1,0
119,0.5853,0.0766,0.4648,0.1507,hand,1,0
120,0.5855,0.0785,0.4633,0.1507,hand,1,0
121,0.5857,0.0802,0.4618,0.1507,hand,1,0
122,0.5859,0.0819,0.4603,0.1506,hand,1,0
123,0.5862,0.0835,0.4588,0.1506,hand,1,0
124,0.5864,0.0851,0.4573,0.1506,hand,1,0
125,0.5866,0.0865,0.4558,0.1506,hand,1,0
