step,ee_x,ee_y,ee_z,min_dist,closest_body,cbf_triggered,violation
93,0.5994,0.0097,0.4033,0.0849,hand,0,1
94,0.5993,0.0112,0.4034,0.0852,hand,0,1
95,0.5993,0.0126,0.4034,0.0854,hand,0,1
96,0.5992,0.0141,0.4034,0.0857,hand,0,1
97,0.5992,0.0155,0.4035,0.086,hand,0,1
98,0.5992,0.0169,0.4035,0.0864,hand,0,1
99,0.5991,0.0183,0.4035,0.0867,hand,0,1
100,0.5991,0.0197,0.4036,0.0871,hand,0,1
101,0.5991,0.0211,0.4036,0.0875,hand,0,1
102,0.599,0.0225,0.4036,0.0879,hand,0,1
103,0.599,0.0239,0.4037,0.0883,hand,0,1
104,0.599,0.0252,0.4037,0.0887,hand,0,1
105,0.5989,0.0266,0.4038,0.0891,hand,0,1
106,0.5989,0.0279,0.4038,0.0896,hand,0,1
107,0.5988,0.0292,0.4038,0.09,hand,0,1
108,0.5988,0.0306,0.4039,0.0905,hand,0,1
109,0.5988,0.0319,0.4039,0.091,hand,0,1
110,0.5987,0.0331,0.4039,0.0915,hand,0,1
111,0.5987,0.0344,0.404,0.092,hand,0,1
112,0.5987,0.0357,0.404,0.0925,hand,0,1
113,0.5987,0.037,0.404,0.093,hand,0,1
114,0.5986,0.0382,0.4041,0.0935,hand,0,1
115,0.5986,0.0395,0.4041,0.094,hand,0,1
116,0.5986,0.0407,0.4041,0.0946,hand,0,1
117,0.5985,0.0419,0.4042,0.0951,hand,0,1
118,0.5985,0.0431,0.4042,0.0957,hand,0,1
119,0.5985,0.0443,0.4042,0.0962,hand,0,1
120,0.5984,0.0455,0.4043,0.0968,hand,0,1
121,0.5984,0.0467,0.4043,0.0974,hand,0,1
122,0.5984,0.0479,0.4044,0.098,hand,0,1
123,0.5983,0.049,0.4044,0.0985,hand,0,1
124,0.5983,0.0502,0.4044,0.0991,hand,0,1
125,0.5983,0.0513,0.4045,0.0997,hand,0,1
126,0.5983,0.0525,0.4045,0.1003,hand,0,1
127,0.5982,0.0536,0.4045,0.1009,hand,0,1
128,0.5982,0.0547,0.4046,0.1015,hand,0,1
129,0.5982,0.0558,0.4046,0.1021,hand,0,1
130,0.5982,0.0569,0.4046,0.1027,hand,0,1
131,0.5981,0.058,0.4047,0.1033,hand,0,1
132,0.5981,0.0591,0.4047,0.1039,hand,0,1
133,0.5981,0.0601,0.4047,0.1046,hand,0,1
134,0.5981,0.0612,0.4048,0.1052,hand,0,1
135,0.598,0.0623,0.4048,0.1058,hand,0,1
136,0.598,0.0633,0.4048,0.1064,hand,0,1
137,0.598,0.0643,0.4049,0.107,hand,0,1
138,0.598,0.0654,0.4049,0.1077,hand,0,1
139,0.5979,0.0664,0.4049,0.1083,hand,0,1
140,0.5979,0.0674,0.405,0.1089,hand,0,1
141,0.5979,0.0684,0.405,0.1095,hand,0,1
142,0.5979,0.0694,0.405,0.1102,hand,0,1
143,0.5978,0.0704,0.4051,0.1108,hand,0,1
144,0.5978,0.0714,0.4051,0.1114,hand,0,1
145,0.5978,0.0723,0.4051,0.112,hand,0,1
146,0.5978,0.0733,0.4052,0.1126,hand,0,1
147,0.5977,0.0743,0.4052,0.1133,hand,0,1
148,0.5977,0.0752,0.4052,0.1139,hand,0,1
149,0.5977,0.0762,0.4053,0.1145,hand,0,1
150,0.5977,0.0771,0.4053,0.1151,hand,0,1
151,0.5977,0.078,0.4053,0.1158,hand,0,1
152,0.5976,0.0789,0.4054,0.1164,hand,0,1
153,0.5976,0.0798,0.4054,0.117,hand,0,1
154,0.5976,0.0807,0.4054,0.1176,hand,0,1
155,0.5976,0.0816,0.4055,0.1182,hand,0,1
156,0.5975,0.0825,0.4055,0.1188,hand,0,1
157,0.5975,0.0834,0.4055,0.1194,hand,0,1
158,0.5975,0.0843,0.4056,0.1201,hand,0,1
159,0.5975,0.0852,0.4056,0.1207,hand,0,1
160,0.5975,0.086,0.4056,0.1213,hand,0,1
161,0.5975,0.0869,0.4057,0.1219,hand,0,1
162,0.5974,0.0877,0.4057,0.1225,hand,0,1
163,0.5974,0.0886,0.4057,0.1231,hand,0,1
164,0.5974,0.0894,0.4058,0.1237,hand,0,1
165,0.5974,0.0902,0.4058,0.1243,hand,0,1
166,0.5974,0.091,0.4058,0.1249,hand,0,1
167,0.5973,0.0918,0.4059,0.1255,hand,0,1
168,0.5973,0.0927,0.4059,0.1261,hand,0,1
169,0.5973,0.0935,0.4059,0.1266,hand,0,1
170,0.5973,0.0943,0.406,0.1272,hand,0,1
171,0.5973,0.095,0.406,0.1278,hand,0,1
172,0.5972,0.0958,0.406,0.1284,hand,0,1
173,0.5972,0.0966,0.4061,0.129,hand,0,1
174,0.5972,0.0974,0.4061,0.1296,hand,0,1
175,0.5972,0.0981,0.4061,0.1301,hand,0,1
176,0.5972,0.0989,0.4062,0.1307,hand,0,1
177,0.5972,0.0996,0.4062,0.1313,hand,0,1
178,0.5971,0.1004,0.4062,0.1318,hand,0,1
179,0.5971,0.1011,0.4063,0.1324,hand,0,1
180,0.5971,0.1018,0.4063,0.133,hand,0,1
181,0.5971,0.1026,0.4063,0.1335,hand,0,1
182,0.5971,0.1033,0.4064,0.1341,hand,0,1
183,0.5971,0.104,0.4064,0.1346,hand,0,1
184,0.5971,0.1047,0.4064,0.1352,hand,0,1
185,0.597,0.1054,0.4065,0.1357,hand,0,1
186,0.597,0.1061,0.4065,0.1363,hand,0,1
187,0.597,0.1068,0.4065,0.1368,hand,0,1
188,0.597,0.1075,0.4066,0.1373,hand,0,1
189,0.597,0.1082,0.4066,0.1379,hand,0,1
190,0.597,0.1088,0.4066,0.1384,hand,0,1
191,0.5969,0.1095,0.4066,0.1389,hand,0,1
192,0.5969,0.1102,0.4067,0.1395,hand,0,1
