episode,car,tsr,ets,collision,cbf_acts,min_dist,violations
0,1,0,800,0,0,inf,0
1,1,0,800,0,0,inf,0
2,1,0,800,0,0,inf,0
3,1,0,800,0,0,inf,0
4,1,1,565,0,0,inf,0
5,1,1,676,0,0,inf,0
6,1,0,800,0,0,inf,0
7,1,1,775,0,0,inf,0
8,1,0,800,0,0,inf,0
9,1,0,800,0,0,inf,0
